startDate,value,unit,sourceName
2022-01-19 06:22:42 -0800,214.243,lb,Health Mate
2022-01-18 06:19:00 -0800,215.105,lb,Health Mate
2022-01-17 08:03:51 -0800,215.969,lb,Health Mate
2022-01-16 08:21:23 -0800,216.267,lb,Health Mate
2022-01-15 08:23:47 -0800,214.724,lb,Health Mate
2022-01-14 06:15:25 -0800,216.542,lb,Health Mate
2022-01-13 07:28:23 -0800,216.196,lb,Health Mate
2022-01-12 07:00:03 -0800,218.3,lb,Health Mate
2022-01-11 06:55:59 -0800,219.596,lb,Health Mate
2022-01-10 07:45:38 -0800,219.988,lb,Health Mate
2022-01-08 08:09:22 -0800,218.308,lb,Health Mate
2022-01-07 06:09:39 -0800,218.196,lb,Health Mate
2022-01-06 06:18:46 -0800,218.05,lb,Health Mate
2022-01-04 06:08:16 -0800,217.307,lb,Health Mate
2022-01-03 05:54:43 -0800,218.758,lb,Health Mate
2022-01-02 07:31:41 -0800,219.893,lb,Health Mate
2021-12-30 06:12:18 -0800,217.244,lb,Health Mate
2021-12-27 08:41:33 -0800,217.603,lb,Health Mate
2021-12-27 08:37:17 -0800,218.297,lb,Health Mate
2021-12-26 09:27:09 -0800,219.395,lb,Health Mate
2021-12-25 08:22:24 -0800,221.035,lb,Health Mate
2021-12-20 09:25:01 -0800,218.013,lb,Health Mate
2021-12-20 07:05:17 -0800,218.976,lb,Health Mate
2021-12-19 06:38:59 -0800,220.952,lb,Health Mate
2021-12-18 06:02:06 -0800,218.494,lb,Health Mate
2021-12-17 05:53:10 -0800,219.772,lb,Health Mate
2021-12-16 06:13:10 -0800,219.671,lb,Health Mate
2021-12-14 06:14:48 -0800,222.696,lb,Health Mate
2021-12-12 07:53:58 -0800,220.456,lb,Health Mate
2021-12-11 06:03:01 -0800,222.799,lb,Health Mate
2021-12-10 06:06:37 -0800,223.8,lb,Health Mate
2021-12-09 05:53:54 -0800,221.02,lb,Health Mate
2021-12-08 06:03:29 -0800,221.88,lb,Health Mate
2021-12-06 06:29:06 -0800,222.92,lb,Health Mate
2021-12-05 08:27:04 -0800,222.786,lb,Health Mate
2021-12-04 07:17:44 -0800,222.925,lb,Health Mate
2021-12-03 06:29:32 -0800,223.606,lb,Health Mate
2021-12-01 06:22:40 -0800,223.882,lb,Health Mate
2021-11-30 06:19:42 -0800,224.018,lb,Health Mate
2021-11-29 07:37:14 -0800,223.776,lb,Health Mate
2021-11-24 06:05:52 -0800,225.271,lb,Health Mate
2021-11-23 06:06:10 -0800,225.083,lb,Health Mate
2021-11-22 07:22:50 -0800,226.018,lb,Health Mate
2021-11-22 05:52:22 -0800,226.338,lb,Health Mate
2021-11-21 06:10:20 -0800,227.193,lb,Health Mate
2021-11-20 06:09:51 -0800,225.592,lb,Health Mate
2021-11-19 06:08:45 -0800,227.493,lb,Health Mate
2021-11-18 23:09:31 -0800,228.564,lb,Health Mate
2021-11-18 05:56:31 -0800,228.842,lb,Health Mate
2021-11-17 06:30:48 -0800,227.947,lb,Health Mate
2021-11-16 22:40:31 -0800,229.47,lb,Health Mate
2021-11-16 06:21:30 -0800,228.857,lb,Health Mate
2021-11-15 06:38:13 -0800,228.833,lb,Health Mate
2021-11-14 06:28:40 -0800,229.373,lb,Health Mate
